场次名称,场次编码（自动）,项目归属（关联）,场次序号,关联日程（外链）,场次执行地点,场次负责人（关联）,场次负责人编码（自动）,机位配置（关联）,机位配置编码（关联）,DropBox（外链）,场次状态,场次备注,场次开始时间,场次结束时间
2025 英文演讲比赛（初赛）,SES-0001,,A,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NWtudWdiZzAyNzY0YmRtcG52dGdvMzdhdWcgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,空间3418,,,,,https://www.dropbox.com/scl/fo/do6yxoecwd8mqm3n2y4x6/AKSYd-3DRtajwOJ_CSuBxzc?rlkey=k2189h1iamj1ec5cunjz4auoh&st=viadvngn&dl=0,已完成,无,2025年9月24日 00:00,2025年9月24日 00:00
25-26 SEM1 班级代表大会（第一次）,SES-0002,,A,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=MHVtZnVwbHNhZml2MW1qOWk1MHEzZmNubGMgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,阶梯教室,,,,,无,已完成,无,2025年9月4日 18:15,2025年9月4日 19:00
第十一届学生会干部照片拍摄（个人照）,SES-0003,,A,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=XzYwcmplZTFuNzExajhiYTE4NHMzYWI5azZjczM0YjlwNmdxajBiOW04aDBqNmdoaTg1MjRhYzFpODQgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,图书馆,,,,,无,已完成,无,2025年9月17日 15:35,2025年9月17日 17:15
2025 教师节活动（干部采访）,SES-0005,,A,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NjFxYzBpcTFxbnZuNWN0NXN2dTdsaWJiYTAgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,教一四楼大会议室,,,,,无,已完成,无,2025年9月11日 18:15,2025年9月11日 20:40
第十一届学生会干部照片拍摄（合照）,SES-0004,,B,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=XzY5MTQ4ZTlsNjkwazhiOWc2c29rYWI5azZvc2plYjlvNnNzazRiOWo2aDM0Y2hpNjg1MjNnZ3BrOG8gYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,图书馆,,,,,无,已完成,本场次包含了部分干部的个人照补拍,2025年9月18日 15:35,2025年9月18日 16:40
2025 英文演讲比赛（复赛）,SES-0006,,B,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NXNiZG5jbGUzdmNpYTVvcGRiOGZmbWYyMnAgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,待确认,,,,,https://www.dropbox.com/scl/fo/yrroxg511hq0kf8p151n8/ABsvz3PcKxExlqk99d-6PSY?rlkey=p76omw874b5c137uwjau8tmvc&st=zmho02im&dl=0,已完成,无,2025年10月29日 00:00,2025年10月29日 00:00
2025 英文演讲比赛（决赛）,SES-0007,,C,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NXZncG5nanJxMzk1M2ZtcXAwY3YzMjQwaDcgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,图书馆楼三楼音乐厅,,,,,无,计划中,无,2026年1月20日 18:15,2026年1月20日 20:40
2025 声动康桥（初赛A）,SES-0011,,A,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=MnI4dDA4NTFlNm84ZHM0a2RkYTB1YmVzN2EgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,教一四楼大会议室,,,,,无,已完成,常规场次,2025年10月16日 18:15,2025年10月16日 20:40
2025 声动康桥（初赛B）,SES-0012,,B,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=MmRuZDMzZGZpMTFqbmZjYW5tMzduMGlrZ3QgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,教一四楼大会议室,,,,,无,已完成,九年级菁英课程补录场次,2025年10月21日 18:15,2025年10月21日 17:00
2025 声动康桥（决赛）,SES-0014,,C,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NmRpbXVza2dtajlvZWZyZXRtZjk2dGw4aDcgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,音乐厅,,,,,无,已完成,无,2025年11月4日 18:10,2025年11月4日 20:40
25-26 SEM1 班级代表大会（第二次）,SES-0015,,B,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=M2Z2anNqcjI3dWUyZXY4MHU3ZDZ2OG1kbnAgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,阶梯教室,,,,,无,已完成,无,2025年10月23日 18:15,2025年10月23日 19:00
2025 声动康桥（决赛物料准备A）,SES-0016,,D,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=MjhoNWRybzk5bHB2MnFlNjVvZTcxOTU3MjMgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,教一四楼中会议室,,,,,无,已完成,简帜轩 (ID-15563)负责的选手材料采集场次,2025年10月22日 18:15,2025年10月22日 20:40
2025 声动康桥（决赛物料准备B）,SES-0017,,E,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NTcxdjJnZnFpbGR2N3VpazNpbnYxMTNpZzAgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,教一四楼中会议室,,,,,无,已完成,左承鑫 (ID-14205)负责的选手材料采集场次,2025年10月23日 18:15,2025年10月23日 20:40
25-26 SEM1 班级代表大会（第三次）,SES-0019,,C,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=MnJjM2doajZjdDJuYThtbmtoYzYwNWNob2QgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,阶梯教室,简帜轩,15563,,,无,取消/异常,【异常】本场无人参与摄影,2025年11月11日 18:15,2025年11月11日 19:00
合唱团《和你一样》音频录制,SES-0020,,A,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=MW5sNDB1YTRtYjY0bWxhb3Y3aG1kMXFpcWMgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,待确认,,,,,无,已完成,无,2025年11月5日 18:00,2025年11月5日 20:40
2025 标化跳水（正式）,SES-0021,,A,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=MjZ0ODI1ZW05cmxiYThhOG1ibGFsYmNlc2UgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,游泳馆,,,,,,已完成,无,2025年11月17日 15:35,2025年11月17日 17:15
2025 声动康桥（决赛排练）,SES-0022,,F,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NXU2dXR1MGtocWgzMXB1MG1lYWZ2OW92MjMgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,音乐厅,,,,,无,已完成,"总排练时长A(11-13), 我组计划仅A(11)",2025年11月3日 18:15,2025年11月3日 20:40
2025 圣诞节暨冬日暖心点灯（正式）,SES-0024,,A,https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NGo2cTZnY21ldDduamhkYm9uYTJhaTFraXQgYmI1ZGNmMjI5M2IxNzk0ZjdmNzIxZDJlNjgxNjQ3ODk2ZDIzZGYxN2IxOTgxMjc4ZDUzNWZjZDdmODg3NzI3YkBn&tmsrc=bb5dcf2293b1794f7f721d2e681647896d23df17b1981278d535fcd7f887727b%40group.calendar.google.com,图书馆大堂,,,"CAS-0050,CAS-0051,CAS-0052,CAS-0053,CAS-0054,CAS-0055,CAS-0056,CAS-0057","CAS-0050,CAS-0051,CAS-0052,CAS-0053,CAS-0054,CAS-0055,CAS-0056,CAS-0057",无,已完成,无,2025年12月10日 17:15,2025年12月10日 18:15
